Scientific name	Comments	WORMS Authority	WORMS Rank	WORMS Kingdom	WORMS Phylum	WORMS Class	WORMS Order	WORMS Family	WORMS Genus	WORMS AphiaID
Lophogastrida		Boas, 1883	Order	Animalia	Arthropoda	Malacostraca	Lophogastrida			149669
Lota lota		(Linnaeus, 1758)	Species	Animalia	Chordata	Actinopteri	Gadiformes	Lotidae	Lota	154388
Lucinoma borealis		(Linnaeus, 1767)	Species	Animalia	Mollusca	Bivalvia	Lucinoida	Lucinidae	Lucinoma	140283
Luidia		Forbes, 1839	Genus	Animalia	Echinodermata	Asteroidea	Paxillosida	Luidiidae	Luidia	123260
Luidia ciliaris		(Philippi, 1837)	Species	Animalia	Echinodermata	Asteroidea	Paxillosida	Luidiidae	Luidia	123920
Lumbriculidae		Vejdovský, 1884	Family	Animalia	Annelida	Clitellata	Lumbriculida	Lumbriculidae		177535
Lumbriculus		Grube, 1844	Genus	Animalia	Annelida	Clitellata	Lumbriculida	Lumbriculidae	Lumbriculus	177537
Lumbrinereis		[auctt. misspelling]	Genus	Animalia	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrinereis	203863
Lumbrinereis fragilis		(O.F. Müller, 1776)	Species	Animalia	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineris	152285
Lumbrinereis scopa aequilobata		Winsnes, 1981	Subspecies	Animalia	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineris	155482
Lumbrineris		Blainville, 1828	Genus	Animalia	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineris	129337
Lumbrineris frgm		Blainville, 1828	Genus	Animalia	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineris	129337
Lumbrineris gracilis		(Ehlers, 1868)	Species	Animalia	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineris	130244
Lumbrineris scopa aquilobata		Winsnes, 1981	Subspecies	Animalia	Annelida	Polychaeta	Eunicida	Lumbrineridae	Lumbrineris	155482
Lumpenus lampretaeformis		(Walbaum, 1792)	Species	Animalia	Chordata	Actinopteri	Perciformes	Stichaeidae	Lumpenus	154675
Lymnaea		Lamarck, 1799	Genus	Animalia	Mollusca	Gastropoda	Hygrophila	Lymnaeidae	Lymnaea	160345
Lymnaea stagnalis		(Linnaeus, 1758)	Species	Animalia	Mollusca	Gastropoda	Hygrophila	Lymnaeidae	Lymnaea	181582
Lymnaeidae		Rafinesque, 1815	Family	Animalia	Mollusca	Gastropoda	Hygrophila	Lymnaeidae		160343
Lyngbya		C.Agardh ex Gomont, 1892	Genus	Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Oscillatoriaceae	Lyngbya	146538
Lyonsia norwegica		(Gmelin, 1791)	Species	Animalia	Mollusca	Bivalvia	Anomalodesmata	Lyonsiidae	Lyonsia	140291
Lysianassa		Milne Edwards, 1830	Genus	Animalia	Arthropoda	Malacostraca	Amphipoda	Lysianassidae	Lysianassa	101620
Lysianassidae		Dana, 1849	Family	Animalia	Arthropoda	Malacostraca	Amphipoda	Lysianassidae		101395
Lysilla loveni		Malmgren, 1866	Species	Animalia	Annelida	Polychaeta	Terebellida	Terebellidae	Lysilla	131500
Macoma		Leach, 1819	Genus	Animalia	Mollusca	Bivalvia	Veneroida	Tellinidae	Macoma	138531
Macoma balthica		(Linnaeus, 1758)	Species	Animalia	Mollusca	Bivalvia	Veneroida	Tellinidae	Macoma	141579
Macoma calcarea		(Gmelin, 1791)	Species	Animalia	Mollusca	Bivalvia	Veneroida	Tellinidae	Macoma	141580
Macoma calcaria		(Gmelin, 1791)	Species	Animalia	Mollusca	Bivalvia	Veneroida	Tellinidae	Macoma	141580
Macrochaeta clavicornis		(M. Sars, 1835)	Species	Animalia	Annelida	Polychaeta	Terebellida	Acrocirridae	Macrochaeta	129745
Macrocypris minna		(Baird, 1850) Brady, 1867	Species	Animalia	Arthropoda	Ostracoda	Podocopida	Macrocyprididae	Macrocypris	128420
Macropipus		Prestandrea, 1833	Genus	Animalia	Arthropoda	Malacostraca	Decapoda	Polybiidae	Macropipus	106926
Macropipus depurator		(Linnaeus, 1758)	Species	Animalia	Arthropoda	Malacostraca	Decapoda	Polybiidae	Macropipus	156228
Maera loveni		(Bruzelius, 1859)	Species	Animalia	Arthropoda	Malacostraca	Amphipoda	Maeridae	Maera	102820
Magelona		F. Müller, 1858	Genus	Animalia	Annelida	Polychaeta	Spionida	Magelonidae	Magelona	129341
Magelona alleni		Wilson, 1958	Species	Animalia	Annelida	Polychaeta	Spionida	Magelonidae	Magelona	130266
Magelona minuta		Eliason, 1962	Species	Animalia	Annelida	Polychaeta	Spionida	Magelonidae	Magelona	130270
Magelona mirabilis		(Johnston, 1865)	Species	Animalia	Annelida	Polychaeta	Spionida	Magelonidae	Magelona	130271
Malacobdella grossa		(Müller, 1776)	Species	Animalia	Nemertea	Enopla	Monostilifera	Malacobdellidae	Malacobdella	122641
Malacoceros fuliginosus		(Claparède, 1870)	Species	Animalia	Annelida	Polychaeta	Spionida	Spionidae	Malacoceros	131131
Malacoceros vulgaris		Quatrefages, 1843	Species	Animalia	Annelida	Polychaeta	Spionida	Spionidae	Malacoceros	131134
Maldane sarsi		Malmgren, 1865	Species	Animalia	Annelida	Polychaeta		Maldanidae	Maldane	130305
Maldanidae		Malmgren, 1867	Family	Animalia	Annelida	Polychaeta		Maldanidae		923
Mallomonas		Perty, 1852	Genus	Chromista	Ochrophyta	Chrysophyceae	Synurales	Mallomonadaceae	Mallomonas	249721
Mallomonas acaroides		Perty, 1852	Species	Chromista	Ochrophyta	Chrysophyceae	Synurales	Mallomonadaceae	Mallomonas	572055
Mallomonas akrokomos		Ruttner, 1913	Species	Chromista	Ochrophyta	Chrysophyceae	Synurales	Mallomonadaceae	Mallomonas	249722
Mallomonas caudata		Ivanov, 1899	Species	Chromista	Ochrophyta	Chrysophyceae	Synurales	Mallomonadaceae	Mallomonas	409645
Mallomonas tonsurata		Teiling, 1912	Species	Chromista	Ochrophyta	Chrysophyceae	Synurales	Mallomonadaceae	Mallomonas	572057
Malmgreniella		Hartman, 1967	Genus	Animalia	Annelida	Polychaeta	Phyllodocida	Polynoidae	Malmgreniella	129499
Malmgreniella andreapolis		(McIntosh, 1874)	Species	Animalia	Annelida	Polychaeta	Phyllodocida	Polynoidae	Malmgreniella	130809
Malmgreniella antilopes		(McIntosh, 1874)	Species	Animalia	Annelida	Polychaeta	Phyllodocida	Polynoidae	Malmgreniella	130809
Malmgreniella castanea		(McIntosh, 1876)	Species	Animalia	Annelida	Polychaeta	Phyllodocida	Polynoidae	Malmgreniella	130811
Malmgreniella ljungmani		(Malmgren, 1867)	Species	Animalia	Annelida	Polychaeta	Phyllodocida	Polynoidae	Malmgreniella	130815
Malmgreniella lunulata		(Delle Chiaje, 1830)	Species	Animalia	Annelida	Polychaeta	Phyllodocida	Polynoidae	Malmgreniella	130816
Mamiella		Ø.Moestrup, 1984	Genus	Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Mamiella	134531
Manayunkia		Leidy, 1859	Genus	Animalia	Annelida	Polychaeta	Sabellida	Fabriciidae	Manayunkia	129535
Manayunkia aestuarina		(Bourne, 1883)	Species	Animalia	Annelida	Polychaeta	Sabellida	Fabriciidae	Manayunkia	130926
Mangelia		Risso, 1826	Genus	Animalia	Mollusca	Gastropoda	Neogastropoda	Mangeliidae	Mangelia	137820
Mangelia attenuata		(Montagu, 1803)	Species	Animalia	Mollusca	Gastropoda	Neogastropoda	Mangeliidae	Mangelia	139265
Mantoniella squamata		(I.Manton & M.Parke) T.V.Desikachary, 1973	Species	Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Mantoniella	134563
Marenzelleria		Mesnil, 1896	Genus	Animalia	Annelida	Polychaeta	Spionida	Spionidae	Marenzelleria	129615
Marenzelleria neglecta		Sikorski & Bick, 2004	Species	Animalia	Annelida	Polychaeta	Spionida	Spionidae	Marenzelleria	181523
Marenzelleria sp.		Mesnil, 1896	Genus	Animalia	Annelida	Polychaeta	Spionida	Spionidae	Marenzelleria	129615
Marenzelleria viridis		(Verrill, 1873)	Species	Animalia	Annelida	Polychaeta	Spionida	Spionidae	Marenzelleria	131135
Marshallora adversa		(Montagu, 1803)	Species	Animalia	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Triphoridae	Marshallora	141715
Marthasterias glacialis		(Linnaeus, 1758)	Species	Animalia	Echinodermata	Asteroidea	Forcipulatida	Asteriidae	Marthasterias	123803
Maxmuelleria faex		(Selenka, 1885)	Species	Animalia	Echiura	Echiuroidea	Bonelliida	Bonelliidae	Maxmuelleria	110366
Megamphopus cornutus		Norman, 1869	Species	Animalia	Arthropoda	Malacostraca	Amphipoda	Photidae	Megamphopus	102377
Meganyctiphanes norvegica		(M. Sars, 1857)	Species	Animalia	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Meganyctiphanes	110690
Melanella lubrica		(Monterosato, 1890)	Species	Animalia	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Eulimidae	Melanella	139849
Melanella monterosatoi		(Monterosato, 1890)	Species	Animalia	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Eulimidae	Melanella	139853
Melanella polita		(Linnaeus, 1758)	Species	Animalia	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Eulimidae	Melanella	139859
Melinna albicincta		(Mackie & Pleijel, 1995)	Species	Animalia	Annelida	Polychaeta	Terebellida	Ampharetidae	Melinna	129802
Melinna cristata		(M. Sars, 1851)	Species	Animalia	Annelida	Polychaeta	Terebellida	Ampharetidae	Melinna	129804
Melinnacheres steenstrupi		(Bresciani & Lützen, 1961)	Species	Animalia	Arthropoda		Poecilostomatoida	Saccopsidae	Melinnacheres	129034
Melita palmata		(Montagu, 1804)	Species	Animalia	Arthropoda	Malacostraca	Amphipoda	Melitidae	Melita	102843
Melosira		C.Agardh, 1824	Genus	Chromista	Ochrophyta	Bacillariophyceae	Melosirales	Melosiraceae	Melosira	149042
Melosira arctica		Dickie, 1852	Species	Chromista	Ochrophyta	Bacillariophyceae	Melosirales	Melosiraceae	Melosira	160537
Melosira lineata		(Dillwyn) C.Agardh, 1824	Species	Chromista	Ochrophyta	Bacillariophyceae	Melosirales	Melosiraceae	Melosira	156636
Melosira moniliformis		(O.F.Müller) C.Agardh, 1824	Species	Chromista	Ochrophyta	Bacillariophyceae	Melosirales	Melosiraceae	Melosira	418547
Melosira nummuloides		C.Agardh, 1824	Species	Chromista	Ochrophyta	Bacillariophyceae	Melosirales	Melosiraceae	Melosira	149044
Melosira varians		C.Agardh, 1827	Species	Chromista	Ochrophyta	Bacillariophyceae	Melosirales	Melosiraceae	Melosira	149043
Melphidippa borealis		Boeck, 1871	Species	Animalia	Arthropoda	Malacostraca	Amphipoda	Melphidippidae	Melphidippa	102856
Melphidippella macra		(Norman, 1869)	Species	Animalia	Arthropoda	Malacostraca	Amphipoda	Melphidippidae	Melphidippella	102860
Membranipora		de Blainville, 1830	Genus	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Membraniporidae	Membranipora	110938
Membranipora membranacea		(Linnaeus, 1767)	Species	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Membraniporidae	Membranipora	111411
Membraniporidae		Busk, 1852	Family	Animalia	Bryozoa	Gymnolaemata	Cheilostomatida	Membraniporidae		110762
Membranoptera alata		(Hudson) Stackhouse, 1809	Species	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Delesseriaceae	Membranoptera	144758
Mendicula ferruginosa		(Forbes, 1844)	Species	Animalia	Mollusca	Bivalvia	Lucinoida	Thyasiridae	Mendicula	152905
Meridion circulare var. circulare		(Grev.) C. Agardh	Variety	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Meridion	180420
Meringosphaera		Lohmann, 1932	Genus	Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Pleurochloridaceae	Meringosphaera	115075
Meringosphaera mediterranea		Lohmann, 1902	Species	Chromista	Ochrophyta	Xanthophyceae	Mischococcales	Pleurochloridaceae	Meringosphaera	248129
Merismopedia punctata		Meyen, 1839	Species	Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Merismopediaceae	Merismopedia	146577
